job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,review_categories,primary_review_category,missing_core_count
1835,greenhouse,7624681,https://job-boards.greenhouse.io/capco/jobs/7624681,,,,,other,other,,,,US - Dallas,,,,,,other,,,0,,,,onsite,US,Dallas,unspecified,unspecified,,,,,,,,in_review,"Title and role family are not provided, location is partially specified (city but no country), salary details missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
1906,greenhouse,6963156,https://job-boards.greenhouse.io/capco/jobs/6963156,,,,,other,other,,,,Slovakia - Kosice,,,,,,,,,,,,,onsite,,Kosice,,,,,,,,,,in_review,"Location is specified, but other details are missing. | rule_review: missing_normalized_title,missing_role_family,too_many_core_fields_missing",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|missing_role_family|location_without_country|too_many_core_fields_missing|sparse_output,low_confidence,4
1066,greenhouse,6670319003,https://job-boards.greenhouse.io/celonis/jobs/6670319003?gh_jid=6670319003,,,,,other,other,,,,Madrid,ES,,,,,other,,,0,,,,onsite,ES,Madrid,,unspecified,,,,,,,,in_review,"Title and role family are unknown, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
1459,greenhouse,7399623,https://job-boards.greenhouse.io/datacamp/jobs/7399623,,,,,other,other,,,,Belgium,US,,,,,other,,,0,,,,onsite,US,Belgium,,unspecified,,,,,,,,in_review,Location is ambiguous (Belgium in US context) | rule_review: missing_normalized_title,ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
998,greenhouse,8395003002,https://job-boards.greenhouse.io/levio/jobs/8395003002,,,,,other,other,,,,Montreal,CA,,,,,other,,,0,,,,onsite,CA,Montreal,,unspecified,,,,,,,,in_review,"Title and role family are unknown, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
1258,greenhouse,6301453003,https://job-boards.greenhouse.io/celonis/jobs/6301453003?gh_jid=6301453003,,,,,other,other,,,,Munich,DE,,,,,other,,,0,,,,onsite,DE,Munich,unspecified,unspecified,,,,,,,,in_review,"Title and role family are unknown, experience and education details are missing, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.500,1,low_confidence|missing_normalized_title,low_confidence,1
267,greenhouse,7267406,https://job-boards.greenhouse.io/canonical/jobs/7267406,,,,,other,other,,,,Beijing,,,,,,other,,,0,,,,onsite,CN,Beijing,full_time,unspecified,,,,,,,,in_review,"Location and employment type are clear, but other details such as role family, experience, education level, salary, etc., are missing or ambiguous. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
1683,greenhouse,7282778,https://job-boards.greenhouse.io/capco/jobs/7282778,,,,,other,other,,,,Brazil - Sao Paulo,,,,,,other,,,0,,,,onsite,BR,Sao Paulo,unspecified,unspecified,,,,,,,,in_review,"Location and country are provided, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
43,greenhouse,7585029,https://job-boards.greenhouse.io/smartsheet/jobs/7585029,,,,,other,other,,,,London,GB,,,,,other,,,0,,,,onsite,GB,London,unspecified,unspecified,,,,,,,,in_review,"Title and role family are unknown, experience and education details are missing, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
529,greenhouse,6969562,https://job-boards.greenhouse.io/canonical/jobs/6969562,,,,,other,other,,,,Home Based - Americas,,,,,,,,,,,,,remote,,Home Based - Americas,unspecified,unspecified,,,,,,,,in_review,"Location is specified as 'Home Based - Americas', which could be interpreted in multiple ways, and other fields are missing. | rule_review: missing_normalized_title,missing_role_family",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|missing_role_family|location_without_country,low_confidence,2
98,greenhouse,7435911,https://job-boards.greenhouse.io/smartsheet/jobs/7435911,,,,,other,other,,,,Bangalore,IN,,,,,other,,,0,,,,onsite,IN,Bangalore,,unspecified,,,,,,,,in_review,"Title and role family are unknown, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
1072,greenhouse,7566095003,https://job-boards.greenhouse.io/celonis/jobs/7566095003?gh_jid=7566095003,,,,,other,other,,,,Madrid,ES,,,,,other,,,0,,,,onsite,ES,Madrid,,unspecified,,,,,,,,in_review,"Title and role family are unknown, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
1868,greenhouse,7522365,https://job-boards.greenhouse.io/capco/jobs/7522365,,,,,other,other,,,,China - Hong Kong,,,,,,,,,,,,,,CN,Hong Kong,,,,,,,,,,in_review,"Location information is partially provided, country and city are specified but the location type is unknown. Confidence is below threshold. | rule_review: missing_normalized_title,missing_role_family,too_many_core_fields_missing",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing|sparse_output,low_confidence,5
1412,greenhouse,7510750,https://job-boards.greenhouse.io/appier/jobs/7510750,,,,,other,other,,,,Taipei,,,,,,other,,,0,,,,onsite,TW,Taipei,,unspecified,,,,,,,,in_review,"City is specified but country is missing, and other fields are unknown. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
1565,greenhouse,7295516,https://job-boards.greenhouse.io/capco/jobs/7295516,,,,,other,other,,,,US - Dallas,,,,,,other,,,0,,,,onsite,US,Dallas,unspecified,unspecified,,,,,,,,in_review,"Title and role family are not provided, location is partially specified (city but no country), salary details missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
1124,greenhouse,7599222003,https://job-boards.greenhouse.io/celonis/jobs/7599222003?gh_jid=7599222003,,,,,other,other,,,,Amsterdam,NL,,,,,other,,,0,,,,onsite,NL,Amsterdam,,unspecified,,,,,,,,in_review,"Title and role family are unknown, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
702,greenhouse,4251863005,https://job-boards.greenhouse.io/gleanwork/jobs/4251863005,,,,,other,other,,,,Palo Alto,CA,,,,,other,,,0,,,,onsite,CA,Palo Alto,unspecified,unspecified,,,,,,,,in_review,"Title and role family are unknown, salary details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.500,1,low_confidence|missing_normalized_title,low_confidence,1
343,greenhouse,4209375,https://job-boards.greenhouse.io/canonical/jobs/4209375,,,,,other,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in_review,"Pred values are all 'other' or missing, indicating low confidence and ambiguity. | rule_review: missing_normalized_title,missing_role_family,too_many_core_fields_missing",ollama,qwen2.5:7b,0.150,1,low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing|sparse_output,low_confidence,5
1673,greenhouse,7363417,https://job-boards.greenhouse.io/capco/jobs/7363417,,,,,other,other,,,,UK - London,,,,,,other,,,0,,,,onsite,GB,London,unspecified,unspecified,,,,,,,,in_review,"Location and country are specified, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
1797,greenhouse,7649214,https://job-boards.greenhouse.io/capco/jobs/7649214,,,,,other,other,,,,,IN,,,,,other,,,0,,,,,IN,,,unspecified,,,,,,,,in_review,"Title and role family are not specified, experience and employment type are unknown. | rule_review: missing_normalized_title,too_many_core_fields_missing",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|too_many_core_fields_missing,low_confidence,3
1294,greenhouse,7258563003,https://job-boards.greenhouse.io/celonis/jobs/7258563003?gh_jid=7258563003,,,,,other,other,,,,Madrid,ES,,,,,other,,,0,,,,onsite,ES,Madrid,,unspecified,,,,,,,,in_review,"Title and role family are unknown, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
1669,greenhouse,7464463,https://job-boards.greenhouse.io/capco/jobs/7464463,,,,,other,other,,,,,IN,,,,,other,,,0,,,,,IN,,,unspecified,,,,,,,,in_review,"Title and role family are not specified, experience and employment type are unknown. | rule_review: missing_normalized_title,too_many_core_fields_missing",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|too_many_core_fields_missing,low_confidence,3
1620,greenhouse,7656981,https://job-boards.greenhouse.io/capco/jobs/7656981,,,,,other,other,,,,Belgium - Brussels,,,,,,other,,,0,,,,onsite,,Brussels,unspecified,unspecified,,,,,,,,in_review,"Location and country are specified, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|location_without_country,low_confidence,1
1716,greenhouse,7621599,https://job-boards.greenhouse.io/capco/jobs/7621599,,,,,other,other,,,,India - Bengaluru,IN,,,,,,,,0,,,,onsite,IN,Bengaluru,unspecified,unspecified,,,,,,,,in_review,"Title and role family are not provided, experience and education details are missing, employment type is unspecified. | rule_review: missing_normalized_title,missing_role_family",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|missing_role_family,low_confidence,2
1676,greenhouse,7609656,https://job-boards.greenhouse.io/capco/jobs/7609656,,,,,other,other,,,,,IN,,,,,other,,,0,,,,,IN,,,unspecified,,,,,,,,in_review,"Title and role family are not specified, experience and employment type are unknown. | rule_review: missing_normalized_title,too_many_core_fields_missing",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|too_many_core_fields_missing,low_confidence,3
1893,greenhouse,7570817,https://job-boards.greenhouse.io/capco/jobs/7570817,,,,,other,other,,,,UK - London,,,,,,other,,,0,,,,onsite,GB,London,unspecified,unspecified,,,,,,,,in_review,"Location and country are specified, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
1161,greenhouse,7578487003,https://job-boards.greenhouse.io/celonis/jobs/7578487003?gh_jid=7578487003,,,,,other,other,,,,Raleigh,US,,,,,other,,,0,,,,onsite,US,Raleigh,unspecified,unspecified,,,,,,,,in_review,"Title and role family are unknown, experience and education details are missing, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
277,greenhouse,6283017,https://job-boards.greenhouse.io/canonical/jobs/6283017,,,,,other,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in_review,"Pred values are all 'other' or missing, indicating low confidence and ambiguity. | rule_review: missing_normalized_title,missing_role_family,too_many_core_fields_missing",ollama,qwen2.5:7b,0.150,1,low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing|sparse_output,low_confidence,5
1622,greenhouse,7278861,https://job-boards.greenhouse.io/capco/jobs/7278861,,,,,other,other,,,,Singapore,,,,,,other,,,0,,,,onsite,,Singapore,unspecified,unspecified,,,,,,,,in_review,"Location and country are specified, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|location_without_country,low_confidence,1
1926,greenhouse,7433547,https://job-boards.greenhouse.io/capco/jobs/7433547,,,,,other,other,,,,India - Bengaluru,IN,,,,,,,,0,,,,onsite,IN,Bengaluru,unspecified,unspecified,,,,,,,,in_review,"Title and role family are not provided, experience and education details are missing, employment type is unspecified. | rule_review: missing_normalized_title,missing_role_family",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|missing_role_family,low_confidence,2
1988,greenhouse,7050392,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/7050392,,,,,other,other,,,,Amsterdam,NL,,,,,other,,,0,,,,onsite,NL,Amsterdam,,unspecified,,,,,,,,in_review,"Title and role family are unknown, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
1390,greenhouse,7111148,https://job-boards.greenhouse.io/appier/jobs/7111148,,,,,other,other,,,,Taipei,,,,,,other,,,0,,,,onsite,TW,Taipei,,unspecified,,,,,,,,in_review,"City is specified but country is missing, and other fields are unknown. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
423,greenhouse,5906490,https://job-boards.greenhouse.io/canonical/jobs/5906490,,,,,other,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in_review,"Pred values are all 'other' or missing, indicating low confidence and ambiguity. | rule_review: missing_normalized_title,missing_role_family,too_many_core_fields_missing",ollama,qwen2.5:7b,0.150,1,low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing|sparse_output,low_confidence,5
265,greenhouse,3433732,https://job-boards.greenhouse.io/canonical/jobs/3433732,,,,,other,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in_review,"Pred values are all 'other' or missing, indicating low confidence and ambiguity. | rule_review: missing_normalized_title,missing_role_family,too_many_core_fields_missing",ollama,qwen2.5:7b,0.150,1,low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing|sparse_output,low_confidence,5
173,greenhouse,8177902002,https://job-boards.greenhouse.io/gomotive/jobs/8177902002,,,,,other,other,,,,Bangalore,IN,,,,,other,,,0,,,,onsite,IN,Bangalore,,unspecified,,,,,,,,in_review,"Title and role family are unknown, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
316,greenhouse,4192903,https://job-boards.greenhouse.io/canonical/jobs/4192903,,,,,other,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in_review,"Pred values are all 'other' or missing, indicating low confidence and ambiguity. | rule_review: missing_normalized_title,missing_role_family,too_many_core_fields_missing",ollama,qwen2.5:7b,0.150,1,low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing|sparse_output,low_confidence,5
965,greenhouse,7298922,https://job-boards.greenhouse.io/gofundme/jobs/7298922,,,,,other,other,,,,Buenos Aires,,,,,,other,,,0,,,,onsite,,Buenos Aires,unspecified,unspecified,,,,,,,,in_review,"Location and country are inferred, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|location_without_country,low_confidence,1
400,greenhouse,6643476,https://job-boards.greenhouse.io/canonical/jobs/6643476,,,,,other,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in_review,"Pred values are all 'other' or missing, indicating low confidence and ambiguity. | rule_review: missing_normalized_title,missing_role_family,too_many_core_fields_missing",ollama,qwen2.5:7b,0.150,1,low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing|sparse_output,low_confidence,5
1798,greenhouse,7351338,https://job-boards.greenhouse.io/capco/jobs/7351338,,,,,other,other,,,,,IN,,,,,other,,,0,,,,,IN,,,unspecified,,,,,,,,in_review,"Title and role family are not specified, experience and employment type are unknown. | rule_review: missing_normalized_title,too_many_core_fields_missing",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|too_many_core_fields_missing,low_confidence,3
1232,greenhouse,7530137003,https://job-boards.greenhouse.io/celonis/jobs/7530137003?gh_jid=7530137003,,,,,other,other,,,,Madrid,ES,,,,,other,,,0,,,,onsite,ES,Madrid,,unspecified,,,,,,,,in_review,"Title and role family are unknown, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
355,greenhouse,6492597,https://job-boards.greenhouse.io/canonical/jobs/6492597,,,,,other,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in_review,"Pred values are all 'other' or missing, indicating low confidence and ambiguity. | rule_review: missing_normalized_title,missing_role_family,too_many_core_fields_missing",ollama,qwen2.5:7b,0.150,1,low_confidence|missing_normalized_title|missing_role_family|too_many_core_fields_missing|sparse_output,low_confidence,5
1960,greenhouse,7335064,https://job-boards.greenhouse.io/capco/jobs/7335064,,,,,other,other,,,,US - Dallas,,,,,,other,,,0,,,,onsite,US,Dallas,unspecified,unspecified,,,,,,,,in_review,"Title and role family are not provided, location is partially specified (city but no country), salary details missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
1886,greenhouse,6776045,https://job-boards.greenhouse.io/capco/jobs/6776045,,,,,other,other,,,,Singapore,,,,,,other,,,0,,,,onsite,,Singapore,unspecified,unspecified,,,,,,,,in_review,"Location and country are specified, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|location_without_country,low_confidence,1
1804,greenhouse,7123619,https://job-boards.greenhouse.io/capco/jobs/7123619,,,,,other,other,,,,Brazil - Sao Paulo,,,,,,other,,,0,,,,onsite,BR,Sao Paulo,unspecified,unspecified,,,,,,,,in_review,"Location and country are provided, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
1067,greenhouse,6608924003,https://job-boards.greenhouse.io/celonis/jobs/6608924003?gh_jid=6608924003,,,,,other,other,,,,Madrid,ES,,,,,other,,,0,,,,onsite,ES,Madrid,,unspecified,,,,,,,,in_review,"Title and role family are unknown, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
1247,greenhouse,7600168003,https://job-boards.greenhouse.io/celonis/jobs/7600168003?gh_jid=7600168003,,,,,other,other,,,,New York,US,,,,,other,,,0,,,,onsite,US,New York,unspecified,unspecified,,,,,,,,in_review,"Title and role family are unknown, experience and education details are missing, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.500,1,low_confidence|missing_normalized_title,low_confidence,1
1524,greenhouse,7651043,https://job-boards.greenhouse.io/capco/jobs/7651043,,,,,other,other,,,,US - Orlando,,,,,,other,,,0,,,,onsite,US,Orlando,unspecified,unspecified,,,,,,,,in_review,"Location and country are provided but not in a structured format, seniority and employment type are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
1938,greenhouse,7593684,https://job-boards.greenhouse.io/capco/jobs/7593684,,,,,other,other,,,,UK - London,,,,,,other,,,0,,,,onsite,GB,London,unspecified,unspecified,,,,,,,,in_review,"Location and country are specified, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
61,greenhouse,7505608,https://job-boards.greenhouse.io/smartsheet/jobs/7505608,,,,,other,other,,,,Miami,US,,,,,other,,,0,,,,onsite,US,Miami,unspecified,unspecified,,,,,,,,in_review,"Location and country are specified, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
69,greenhouse,7629443,https://job-boards.greenhouse.io/smartsheet/jobs/7629443,,,,,other,other,,,,Bellevue,US,,,,,other,,,0,,,,onsite,US,Bellevue,unspecified,unspecified,,,,,,,,in_review,"Title and role family are not provided, experience and salary details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
988,greenhouse,7593663,https://job-boards.greenhouse.io/inthepocket/jobs/7593663,,,,,other,other,,,,Belgium,,,,,,other,,,0,,,,onsite,,,unspecified,unspecified,,,,,,,,in_review,"Location and employment type are specified, but other details are missing. | rule_review: missing_normalized_title,location_without_country",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|location_without_country,low_confidence,1
1750,greenhouse,7582972,https://job-boards.greenhouse.io/capco/jobs/7582972,,,,,other,other,,,,UK - London,,,,,,other,,,0,,,,onsite,GB,London,unspecified,unspecified,,,,,,,,in_review,"Location and country are specified, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
1813,greenhouse,7599991,https://job-boards.greenhouse.io/capco/jobs/7599991,,,,,other,other,,,,US - Charlotte,,,,,,other,,,0,,,,onsite,US,Charlotte,unspecified,unspecified,,,,,,,,in_review,"Location and country are specified, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
1360,greenhouse,6783397,https://job-boards.greenhouse.io/appier/jobs/6783397,,,,,other,other,,,,Beijing,,,,,,other,,,0,,,,onsite,CN,Beijing,full_time,unspecified,,,,,,,,in_review,"Location and employment type are clear, but other details such as role family, experience, education level, salary, etc., are missing or ambiguous. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
1225,greenhouse,7608980003,https://job-boards.greenhouse.io/celonis/jobs/7608980003?gh_jid=7608980003,,,,,other,other,,,,Madrid,ES,,,,,other,,,0,,,,onsite,ES,Madrid,,unspecified,,,,,,,,in_review,"Title and role family are unknown, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
1250,greenhouse,6320587003,https://job-boards.greenhouse.io/celonis/jobs/6320587003?gh_jid=6320587003,,,,,other,other,,,,Tokyo,,,,,,other,,,0,,,,onsite,,Tokyo,unspecified,unspecified,,,,,,,,in_review,"Location and country are specified, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|location_without_country,low_confidence,1
927,greenhouse,7592100003,https://job-boards.greenhouse.io/truebill/jobs/7592100003,,,,,other,other,,,,San Francisco,NY,,,,,other,,,0,,,,,NY,San Francisco,,unspecified,,,,,,,,in_review,"Location information is ambiguous (NY vs San Francisco). Seniority and employment type are missing. | rule_review: missing_normalized_title,too_many_core_fields_missing",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|too_many_core_fields_missing,low_confidence,3
1172,greenhouse,7576024003,https://job-boards.greenhouse.io/celonis/jobs/7576024003?gh_jid=7576024003,,,,,other,other,,,,Munich,DE,,,,,other,,,0,,,,onsite,DE,Munich,unspecified,unspecified,,,,,,,,in_review,"Title and role family are unknown, experience and education details are missing, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.500,1,low_confidence|missing_normalized_title,low_confidence,1
1685,greenhouse,7456432,https://job-boards.greenhouse.io/capco/jobs/7456432,,,,,other,other,,,,Brazil - Sao Paulo,,,,,,other,,,0,,,,onsite,BR,Sao Paulo,unspecified,unspecified,,,,,,,,in_review,"Location and country are provided, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
