job_indexed_id,url,title_clean,pred_normalized_title,gold_normalized_title_before,gold_normalized_title_after,pred_role_family,gold_role_family,queue_reason,review_decision,review_notes
995,https://job-boards.greenhouse.io/levio/jobs/8425939002,HRIS PMO Coordinator,other,other,other,other,other,title_still_other_after_canonicalization,,
176,https://job-boards.greenhouse.io/gomotive/jobs/8382162002,Field Marketing Specialist,marketing_specialist,field_marketing_specialist,field_marketing_specialist,marketing,marketing,gold_vs_pred_title_mismatch,,
185,https://job-boards.greenhouse.io/gomotive/jobs/8387980002,Instructional Designer,other,other,other,other,other,title_still_other_after_canonicalization,,
1232,https://job-boards.greenhouse.io/celonis/jobs/7530137003?gh_jid=7530137003,"Senior Manager, Executive Programs",manager,manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
1972,https://job-boards.greenhouse.io/capco/jobs/7577903,UI Designer (She/He/They),product_designer,,,design,design,gold_vs_pred_title_mismatch,,
342,https://job-boards.greenhouse.io/canonical/jobs/6464146,Graduate Talent Scientist,talent_analytics_specialist,talent_analytics_specialist,talent_analytics_specialist,hr,,missing_gold_role_family_with_canonical_title,,
377,https://job-boards.greenhouse.io/canonical/jobs/6177790,MAAS Data Center Infrastructure Engineer (Toronto area),analytics_engineer,,,data_analytics,engineering,gold_vs_pred_title_mismatch,,
468,https://job-boards.greenhouse.io/canonical/jobs/5881447,Software Architect - Containers / Virtualisation,other,other,other,other,architecture,title_still_other_after_canonicalization,,
253,https://job-boards.greenhouse.io/gomotive/jobs/6903824002,Technical Support Engineer,it_support_specialist,technical_support_engineer,technical_support_engineer,it_operations,it_operations,gold_vs_pred_title_mismatch,,
535,https://job-boards.greenhouse.io/canonical/jobs/7043026,UX Designer - Developer experience,product_designer,,,design,design,gold_vs_pred_title_mismatch,,
537,https://job-boards.greenhouse.io/canonical/jobs/5326986,Visual Designer,other,other,other,other,design,title_still_other_after_canonicalization,,
536,https://job-boards.greenhouse.io/canonical/jobs/6072086,UX Designer - Infrastructure,product_designer,,,design,design,gold_vs_pred_title_mismatch,,
410,https://job-boards.greenhouse.io/canonical/jobs/7490812,Public Cloud Enablement Professional,other,other,other,other,other,title_still_other_after_canonicalization,,
1826,https://job-boards.greenhouse.io/capco/jobs/7348649,Product Owner (Specialty Insurance) - Product & Experience,other,other,other,other,product_management,title_still_other_after_canonicalization,,
540,https://job-boards.greenhouse.io/gleanwork/jobs/4656031005,Accounting Apprentice,other,other,other,other,other,title_still_other_after_canonicalization,,
348,https://job-boards.greenhouse.io/canonical/jobs/4551832,Information Systems - Open Source Technical Architect,other,other,other,other,technical_architect,title_still_other_after_canonicalization,,
1367,https://job-boards.greenhouse.io/appier/jobs/7552171,Associate Finance Manager,accountant,manager,manager,finance,finance,gold_vs_pred_title_mismatch,,
1973,https://job-boards.greenhouse.io/capco/jobs/7297411,Validation & Prod Testing,other,other,other,other,other,title_still_other_after_canonicalization,,
895,https://job-boards.greenhouse.io/grafanalabs/jobs/5728176004,Strategic Channel Manager | Japan | Remote,manager,manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
941,https://job-boards.greenhouse.io/nansen/jobs/5678529004,Head of BD Staking - NYC,other,other,other,other,Business Development,title_still_other_after_canonicalization,,
1132,https://job-boards.greenhouse.io/celonis/jobs/6313846003?gh_jid=6313846003,Head of Industry - Banking,industry_lead,industry_lead,industry_lead,sales,,missing_gold_role_family_with_canonical_title,,
1792,https://job-boards.greenhouse.io/capco/jobs/7553881,Murex Credit Risk SME,other,other,other,other,other,title_still_other_after_canonicalization,,
1947,https://job-boards.greenhouse.io/capco/jobs/7267324,SPO Offshore Team Lead,other,other,other,other,other,title_still_other_after_canonicalization,,
731,https://job-boards.greenhouse.io/gleanwork/jobs/4657292005,Website Designer,other,other,other,other,other,title_still_other_after_canonicalization,,
1158,https://job-boards.greenhouse.io/celonis/jobs/6583519003?gh_jid=6583519003,"Manager, Cloud Security",manager,manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
948,https://job-boards.greenhouse.io/gofundme/jobs/7460504,"Director, Customer Care",other,other,other,other,management,title_still_other_after_canonicalization,,
992,https://job-boards.greenhouse.io/inthepocket/jobs/7102192,Team Lead,other,other,other,other,other,title_still_other_after_canonicalization,,
1396,https://job-boards.greenhouse.io/appier/jobs/1510668,"Sales Manager(IC, Hunter), Ad Cloud",sales_representative,,,sales,sales,gold_vs_pred_title_mismatch,,
1522,https://job-boards.greenhouse.io/capco/jobs/7649251,AI Product Analyst | Bank,other,other,other,other,other,title_still_other_after_canonicalization,,
1831,https://job-boards.greenhouse.io/capco/jobs/7532969,Programme Manager (Principal Consultant) - Financial Services,manager,manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
714,https://job-boards.greenhouse.io/gleanwork/jobs/4624272005,Talent Sourcer,other,other,other,other,other,title_still_other_after_canonicalization,,
354,https://job-boards.greenhouse.io/canonical/jobs/6642933,Junior Ads Specialist,other,other,other,other,marketing,title_still_other_after_canonicalization,,
1993,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/2453640,Portfolio Manager - Generalist - Fundamental Long Short Equities (HK),manager,manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
1677,https://job-boards.greenhouse.io/capco/jobs/6856413,Executive Director | Insurance (Transformation Consulting),other,other,other,other,other,title_still_other_after_canonicalization,,
1978,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/7208381,Amsterdam Trader Summer Internship 2026,other,other,other,other,finance/trading,title_still_other_after_canonicalization,,
783,https://job-boards.greenhouse.io/grafanalabs/jobs/5796016004,People Technology Analyst | EST or CST USA | Remote,other,other,other,other,analyst,title_still_other_after_canonicalization,,
1387,https://job-boards.greenhouse.io/appier/jobs/6967119,Quality Assurance Intern,other,other,other,other,other,title_still_other_after_canonicalization,,
942,https://job-boards.greenhouse.io/nansen/jobs/5783711004,Product Analyst,other,other,other,other,product management,title_still_other_after_canonicalization,,
879,https://job-boards.greenhouse.io/grafanalabs/jobs/5777812004,Staff Product Analyst | USA | Remote,other,other,other,other,product analysis,title_still_other_after_canonicalization,,
1980,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/7556228,Campus Recruitment Coordinator,other,other,other,other,other,title_still_other_after_canonicalization,,
1602,https://job-boards.greenhouse.io/capco/jobs/7191275,Capco Summer Internship Program - Dallas Summer 2026,other,other,other,other,other,title_still_other_after_canonicalization,,
414,https://job-boards.greenhouse.io/canonical/jobs/4536726,Python Engineer - Data Center Hardware Integration (Taipei),analytics_engineer,,,data_analytics,software_engineering,gold_vs_pred_title_mismatch,,
1846,https://job-boards.greenhouse.io/capco/jobs/7656698,QA Automation Tester (5 days on-site) - All levels,other,other,other,other,Engineering and Technical,title_still_other_after_canonicalization,,
625,https://job-boards.greenhouse.io/gleanwork/jobs/4667085005,"Manager, AI Outcomes",manager,manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
1776,https://job-boards.greenhouse.io/capco/jobs/7362581,Managing Principal - Institutional Payments Lead,consultant,,,consulting,consulting,gold_vs_pred_title_mismatch,,
