job_indexed_id,url,title_clean,gold_normalized_title,gold_role_family,gold_seniority,gold_employment_type,gold_location_type,gold_location_city,gold_country,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,qa_status,qa_fix_normalized_title,qa_fix_role_family,qa_fix_seniority,qa_fix_employment_type,qa_fix_location_type,qa_fix_location_city,qa_fix_country,qa_fix_salary_min,qa_fix_salary_max,qa_fix_salary_currency,qa_fix_salary_period,qa_notes
4,https://job-boards.greenhouse.io/found/jobs/4501664005,Telehealth Provider (MD & DO),healthcare_provider,healthcare,unspecified,contract,remote,,US,140,180,USD,hourly,,,,,,,,,,,,,
453,https://job-boards.greenhouse.io/canonical/jobs/3003389,Senior Software Engineer - MAAS,software_engineer,software_engineering,senior,,remote,,,,,,,,,,,,,,,,,,,
558,https://job-boards.greenhouse.io/gleanwork/jobs/4660539005,Commercial Account Executive - Australia,account_executive,sales,senior,,remote,,AU,,,,,,,,,,,,,,,,,
1032,https://job-boards.greenhouse.io/webflow/jobs/7456130,Senior Brand Designer,other,design,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
1356,https://job-boards.greenhouse.io/thumbtack/jobs/7656824,Trust & Safety Senior Specialist - Incident Operations,operations_specialist,operations,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
1214,https://job-boards.greenhouse.io/celonis/jobs/7594944003?gh_jid=7594944003,Senior Consultant - Data Analytics and Supply Chain Transformation,consultant,consulting,senior,,hybrid,Munich,DE,,,,,,,,,,,,,,,,,
306,https://job-boards.greenhouse.io/canonical/jobs/5667860,Engineering Manager - Data Platform,analytics_manager,data_analytics,senior,full_time,remote,,,,,,,,,,,,,,,,,,,
824,https://job-boards.greenhouse.io/grafanalabs/jobs/5783882004,Senior Product Marketing Manager | Sweden | Remote,marketing_specialist,marketing,senior,,remote,,FR,,,,,,,,,,,,,,,,,
1875,https://job-boards.greenhouse.io/capco/jobs/7553920,Senior Business Analyst - Insurance,business_analyst,business_analysis,senior,unspecified,hybrid,London,GB,,,,,,,,,,,,,,,,,
1349,https://job-boards.greenhouse.io/thumbtack/jobs/7638146,"Senior Product Manager, Partnerships",product_manager,product_management,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
794,https://job-boards.greenhouse.io/grafanalabs/jobs/5785653004,Senior Backend Engineer - Grafana k6 | UK | Remote,backend_engineer,backend,senior,,remote,,GB,,,,,,,,,,,,,,,,,
1865,https://job-boards.greenhouse.io/capco/jobs/7588658,Senior Azure Data Engineer (Databricks),data_engineer,data_engineering,senior,unspecified,hybrid,London,GB,,,,,,,,,,,,,,,,,
236,https://job-boards.greenhouse.io/gomotive/jobs/8360620002,Senior Technical Support Engineer - Spanish,it_support_specialist,it_operations,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
99,https://job-boards.greenhouse.io/smartsheet/jobs/7515921,Sr. Commissions Analyst,financial_analyst,finance,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
1182,https://job-boards.greenhouse.io/celonis/jobs/7576023003?gh_jid=7576023003,Principal Enterprise Architect,enterprise_architect,architecture,senior,full_time,onsite,Munich,DE,,,,,,,,,,,,,,,,,
1039,https://job-boards.greenhouse.io/webflow/jobs/7658245,"Senior Product Designer, Analyze",product_designer,design,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
103,https://job-boards.greenhouse.io/smartsheet/jobs/7102194,"Sr. Data Scientist, Product Analytics (Hybrid in Bangalore)",data_scientist,data_science,senior,,hybrid,Bangalore,IN,,,,,,,,,,,,,,,,,
1436,https://job-boards.greenhouse.io/appier/jobs/7092458,Staff/Senior Machine Learning Scientist (Ad Cloud),ml_scientist,machine_learning,senior,,onsite,Tokyo,US,,,,,,,,,,,,,,,,,
365,https://job-boards.greenhouse.io/canonical/jobs/6484410,Lead HR Generalist - Americas,hr_generalist,hr,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
1496,https://job-boards.greenhouse.io/kalepa/jobs/5737438004,Senior Full Stack Engineer - Core UX (New York),fullstack_engineer,fullstack,senior,full_time,onsite,New York,US,,,,,,,,,,,,,,,,,
1480,https://job-boards.greenhouse.io/datacamp/jobs/7361123,Senior Customer Success Manager,customer_success_manager,customer_success,senior,full_time,onsite,California,US,,,,,,,,,,,,,,,,,
450,https://job-boards.greenhouse.io/canonical/jobs/3029798,Senior Site Reliability Engineer,site_reliability_engineer,sre,senior,,remote,,,,,,,,,,,,,,,,,,,
286,https://job-boards.greenhouse.io/canonical/jobs/6366166,Dell Global Alliance Director,alliance_manager,management,senior,contract,remote,,US,,,,,,,,,,,,,,,,,
1304,https://job-boards.greenhouse.io/celonis/jobs/7493242003?gh_jid=7493242003,Staff Technical Program Manager,technical_program_manager,program_management,senior,full_time,onsite,Bangalore,IN,,,,,,,,,,,,,,,,,
323,https://job-boards.greenhouse.io/canonical/jobs/7064135,Executive Search Lead - Technology,technical_recruiter,recruiting,senior,,remote,,,,,,,,,,,,,,,,,,,
1910,https://job-boards.greenhouse.io/capco/jobs/7567091,Senior DevOps Engineer - AI Products (She/ He/ They),devops_engineer,devops,senior,contract,onsite,,PL,,,,,,,,,,,,,,,,,
1316,https://job-boards.greenhouse.io/celonis/jobs/7618766003?gh_jid=7618766003,Summernaut Program - Legal Summer Intern,legal_counsel,legal,intern,full_time,hybrid,Raleigh,US,,,,,,,,,,,,,,,,,
1122,https://job-boards.greenhouse.io/celonis/jobs/7643338003?gh_jid=7643338003,Field CTO,chief_technology_officer,executive leadership,lead,,hybrid,Chicago,US,,,,,,,,,,,,,,,,,
1681,https://job-boards.greenhouse.io/capco/jobs/7589865,Frontend Developer - hybrid Calgary ** numerous openings at all levels **,frontend_engineer,frontend,senior,,hybrid,Canada - Calgary,CA,,,,,,,,,,,,,,,,,
1104,https://job-boards.greenhouse.io/celonis/jobs/7628764003?gh_jid=7628764003,"Director, Corporate Development",corporate_development,strategy,lead,full_time,hybrid,Redwood City,US,,,,,,,,,,,,,,,,,
478,https://job-boards.greenhouse.io/canonical/jobs/5211861,Software Engineering Director,software_engineer,software_engineering,director,,remote,,,,,,,,,,,,,,,,,,,
251,https://job-boards.greenhouse.io/gomotive/jobs/8021079002,Technical Account Manager - Enterprise,account_manager,sales,senior,,remote,,,,,,,,,,,,,,,,,,,
445,https://job-boards.greenhouse.io/canonical/jobs/5920689,Senior Jira Administrator,other,other,senior,,remote,,,,,,,,,,,,,,,,,,,
108,https://job-boards.greenhouse.io/smartsheet/jobs/7577295,Sr. Machine Learning Operations Engineer,operations_specialist,engineering,senior,full_time,remote,,IN,,,,,,,,,,,,,,,,,
1510,https://job-boards.greenhouse.io/capco/jobs/7550016,Agile Coach,consultant,consulting,senior,unspecified,hybrid,London,GB,,,,,,,,,,,,,,,,,
1630,https://job-boards.greenhouse.io/capco/jobs/6380329,Data Architect,data_analyst,data_architecture,senior,,onsite,Kuala Lumpur,,,,,,,,,,,,,,,,,,
3,https://job-boards.greenhouse.io/found/jobs/4642180005,Marketing & Communications Manager,marketing_specialist,marketing,senior,contract,remote,,US,,,,,,,,,,,,,,,,,
1579,https://job-boards.greenhouse.io/capco/jobs/6528708,Business Analyst - Insurance,business_analyst,business_analysis,senior,full_time,onsite,Milan,IT,,,,,,,,,,,,,,,,,
1348,https://job-boards.greenhouse.io/thumbtack/jobs/7638142,"Senior Product Manager, Partnerships",product_manager,product_management,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
1031,https://job-boards.greenhouse.io/webflow/jobs/7353505,"Senior Backend Engineer, Assets",backend_engineer,backend,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
1900,https://job-boards.greenhouse.io/capco/jobs/7588671,Senior Data Engineer - GCP,data_engineer,data_engineering,senior,unspecified,hybrid,London,GB,,,,,,,,,,,,,,,,,
90,https://job-boards.greenhouse.io/smartsheet/jobs/7475715,Senior NetSuite Administrator (in Bangalore),systems_administrator,it_operations,senior,full_time,onsite,Bangalore,IN,,,,,,,,,,,,,,,,,
87,https://job-boards.greenhouse.io/smartsheet/jobs/7641389,Senior Auditor (Remote Eligible - Costa Rica),accountant,finance,senior,full_time,remote,,CR,,,,,,,,,,,,,,,,,
1261,https://job-boards.greenhouse.io/celonis/jobs/6118579003?gh_jid=6118579003,Senior Solutions Architect - Containerized Platform Solutions,solutions_architect,architecture,senior,full_time,onsite,Munich,DE,,,,,,,,,,,,,,,,,
1040,https://job-boards.greenhouse.io/webflow/jobs/7558007,"Senior Product Designer, Lifecycle",product_designer,design,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
102,https://job-boards.greenhouse.io/smartsheet/jobs/7105333,"Sr. Data Scientist II, Product Analytics (Hybrid in Bangalore)",data_scientist,data_science,senior,,hybrid,Bangalore,IN,,,,,,,,,,,,,,,,,
1783,https://job-boards.greenhouse.io/capco/jobs/7613738,ML Engineer (She/He/They),ml_engineer,machine_learning,,contract,hybrid,Warsaw,PL,,,,,,,,,,,,,,,,,
444,https://job-boards.greenhouse.io/canonical/jobs/6762650,Senior HR Generalist - EMEA,hr_generalist,hr,senior,,remote,,DE,,,,,,,,,,,,,,,,,
1917,https://job-boards.greenhouse.io/capco/jobs/7559563,Senior Full Stack Developer - Java Spring Boot & React.js (Thai Speaker),fullstack_engineer,fullstack,senior,full_time,onsite,Bangkok,,,,,,,,,,,,,,,,,,
262,https://job-boards.greenhouse.io/gomotive/jobs/8342277002,Winback Specialist,customer_success_manager,customer_success,,contract,remote,,,,,,,,,,,,,,,,,,,
451,https://job-boards.greenhouse.io/canonical/jobs/5517891,Senior Site Reliability / Gitops Engineer,site_reliability_engineer,sre,senior,,remote,,,,,,,,,,,,,,,,,,,
347,https://job-boards.greenhouse.io/canonical/jobs/6950222,IBM Global Alliance Director,alliance_manager,management,senior,contract,remote,,US,,,,,,,,,,,,,,,,,
671,https://job-boards.greenhouse.io/gleanwork/jobs/4625106005,Senior Security Technical Program Manager,technical_program_manager,program_management,senior,full_time,onsite,Bangalore,IN,,,,,,,,,,,,,,,,,
1957,https://job-boards.greenhouse.io/capco/jobs/6203991,Talent Acquisition Specialist (She/He/They),technical_recruiter,recruiting,senior,contract,hybrid,,PL,,,,,,,,,,,,,,,,,
1908,https://job-boards.greenhouse.io/capco/jobs/6963181,Senior DevOps Engineer,devops_engineer,devops,senior,full_time,,Brno,,,,,,,,,,,,,,,,,,
45,https://job-boards.greenhouse.io/smartsheet/jobs/7453306,Corporate Counsel I,legal_counsel,legal,director,full_time,remote,,US,,,,,,,,,,,,,,,,,
1120,https://job-boards.greenhouse.io/celonis/jobs/7610432003?gh_jid=7610432003,Field CTO,chief_technology_officer,executive_leadership,lead,,hybrid,Munich,DE,,,,,,,,,,,,,,,,,
539,https://job-boards.greenhouse.io/canonical/jobs/5150422,"Web Frontend Engineer - JS, CSS, React, Flutter",frontend_engineer,frontend,,,,,,,,,,,,,,,,,,,,,,
375,https://job-boards.greenhouse.io/canonical/jobs/6062471,Linux Platform Integration - Ubuntu Systems Senior Engineer,software_engineer,software_engineering,senior,,remote,,,,,,,,,,,,,,,,,,,
59,https://job-boards.greenhouse.io/smartsheet/jobs/6693156,Enterprise Account Executive - State/Local Government,account_executive,sales,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
520,https://job-boards.greenhouse.io/canonical/jobs/7606934,Treasury Analyst,other,,,,,,,,,,,,,,,,,,,,,,,
277,https://job-boards.greenhouse.io/canonical/jobs/6283017,Cloud Professional Services Manager,manager,operations,senior,full_time,remote,,,,,,,,,,,,,,,,,,,
1526,https://job-boards.greenhouse.io/capco/jobs/7577054,AI Transformation Managing Principal,consultant,consulting,senior,full_time,onsite,Chicago,US,,,,,,,,,,,,,,,,,
1654,https://job-boards.greenhouse.io/capco/jobs/7570719,Data Strategy & Advisory Leader - Insurance,data_analyst,data_analytics,senior,full_time,hybrid,London,GB,,,,,,,,,,,,,,,,,
825,https://job-boards.greenhouse.io/grafanalabs/jobs/5783879004,Senior Product Marketing Manager | United Kingdom | Remote,marketing_specialist,marketing,senior,,remote,,GB,,,,,,,,,,,,,,,,,
1576,https://job-boards.greenhouse.io/capco/jobs/7390824,Business Analyst - Financial Markets (She/He/They),business_analyst,business_analysis,senior,full_time,hybrid,,PL,,,,,,,,,,,,,,,,,
81,https://job-boards.greenhouse.io/smartsheet/jobs/7386364,Product Manager II (Remote from Bulgaria),product_manager,product_management,senior,full_time,remote,,BG,,,,,,,,,,,,,,,,,
790,https://job-boards.greenhouse.io/grafanalabs/jobs/5711137004,Senior Backend Engineer - Grafana App Platform | US (EST) | Remote,backend_engineer,backend,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
163,https://job-boards.greenhouse.io/gomotive/jobs/8213266002,Data Engineer,data_engineer,data_engineering,unspecified,full_time,remote,,IN,,,,,,,,,,,,,,,,,
126,https://job-boards.greenhouse.io/smartsheet/jobs/7551022,"Team Manager, Technical Support",it_support_specialist,management,senior,full_time,remote,,IN,,,,,,,,,,,,,,,,,
107,https://job-boards.greenhouse.io/smartsheet/jobs/7629370,"Sr. Finance Analyst, WWFO FP&A",financial_analyst,finance,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
1205,https://job-boards.greenhouse.io/celonis/jobs/6646024003?gh_jid=6646024003,Senior AI Deployment Architect,enterprise_architect,architecture,senior,,hybrid,London,GB,,,,,,,,,,,,,,,,,
1041,https://job-boards.greenhouse.io/webflow/jobs/7658221,Senior Product Design Manager,product_designer,management,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
101,https://job-boards.greenhouse.io/smartsheet/jobs/7171724,Sr. Data Scientist (Hybrid in Bangalore),data_scientist,data_science,senior,full_time,hybrid,Bangalore,IN,,,,,,,,,,,,,,,,,
1437,https://job-boards.greenhouse.io/appier/jobs/6897205,Staff/Senior Machine Learning Scientist (Ad Cloud),ml_scientist,machine_learning,senior,full_time,onsite,Taipei,TW,,,,,,,,,,,,,,,,,
131,https://job-boards.greenhouse.io/smartsheet/jobs/7599802,"VP, People Business Partnerships",hr_business_partner,hr,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
1951,https://job-boards.greenhouse.io/capco/jobs/7544193,Sr. Java Full Stack Developer,fullstack_engineer,fullstack,senior,full_time,onsite,Pune,IN,,,,,,,,,,,,,,,,,
227,https://job-boards.greenhouse.io/gomotive/jobs/8365243002,Senior Role Readiness Specialist,customer_success_manager,customer_success,senior,,,Lahore,PK,,,,,,,,,,,,,,,,,
1252,https://job-boards.greenhouse.io/celonis/jobs/6534920003?gh_jid=6534920003,Senior Site Reliability Engineer,site_reliability_engineer,sre,senior,,hybrid,Munich,DE,,,,,,,,,,,,,,,,,
327,https://job-boards.greenhouse.io/canonical/jobs/4517179,Global Head of GSI Alliances,alliance_manager,partnerships,senior,,remote,,,,,,,,,,,,,,,,,,,
675,https://job-boards.greenhouse.io/gleanwork/jobs/4611652005,Senior Technical Program Manager,technical_program_manager,program_management,senior,,onsite,Bangalore,IN,,,,,,,,,,,,,,,,,
188,https://job-boards.greenhouse.io/gomotive/jobs/5476318002,Interested in joining our team?,general_application,,unspecified,,remote,,,,,,,,,,,,,,,,,,,
1909,https://job-boards.greenhouse.io/capco/jobs/6963155,Senior DevOps Engineer,devops_engineer,devops,senior,full_time,,Bratislava,,,,,,,,,,,,,,,,,,
820,https://job-boards.greenhouse.io/grafanalabs/jobs/5811263004,Senior Product Counsel | United States | Remote,legal_counsel,legal,senior,,remote,,US,229462,275355,USD,yearly,,,,,,,,,,,,,
1121,https://job-boards.greenhouse.io/celonis/jobs/7643335003?gh_jid=7643335003,Field CTO,chief_technology_officer,executive leadership,lead,,hybrid,Raleigh,US,,,,,,,,,,,,,,,,,
1682,https://job-boards.greenhouse.io/capco/jobs/7661734,Frontend Developer - React,frontend_engineer,frontend,mid,full_time,hybrid,London,GB,,,,,,,,,,,,,,,,,
806,https://job-boards.greenhouse.io/grafanalabs/jobs/5813618004,Senior Engineering Manager - Platform Metal | Sweden | Remote,software_engineer,management,senior,full_time,remote,,DE,,,,,,,,,,,,,,,,,
61,https://job-boards.greenhouse.io/smartsheet/jobs/7505608,Enterprise Account Executive - State/Local Government,account_executive,sales,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
1101,https://job-boards.greenhouse.io/celonis/jobs/7230213003?gh_jid=7230213003,Customer Transformation Advisor,other,other,senior,,hybrid,Munich,DE,,,,,,,,,,,,,,,,,
512,https://job-boards.greenhouse.io/canonical/jobs/4541445,Technical Manager - Automotive and Industrial,manager,,senior,,,,,,,,,,,,,,,,,,,,,
1176,https://job-boards.greenhouse.io/celonis/jobs/7532066003?gh_jid=7532066003,Principal Consultant - AI Governance,consultant,consulting,senior,full_time,onsite,Madrid,ES,,,,,,,,,,,,,,,,,
1889,https://job-boards.greenhouse.io/capco/jobs/7101713,Senior Data Analyst,data_analyst,data_analytics,senior,,hybrid,,IN,,,,,,,,,,,,,,,,,
668,https://job-boards.greenhouse.io/gleanwork/jobs/4656042005,Senior Partner Marketing Manager (Channel),marketing_specialist,marketing,senior,,remote,,US,,,,,,,,,,,,,,,,,
1575,https://job-boards.greenhouse.io/capco/jobs/7507582,Business Analyst - Energy,business_analyst,business_analysis,senior,full_time,onsite,Brussels,,,,,,,,,,,,,,,,,,
224,https://job-boards.greenhouse.io/gomotive/jobs/8387963002,"Senior Product Manager, Fleet Management",product_manager,product_management,senior,,remote,,IN,,,,,,,,,,,,,,,,,
862,https://job-boards.greenhouse.io/grafanalabs/jobs/5801259004,Staff Backend Engineer - Adaptive Telemetry | Spain | Remote,backend_engineer,backend,senior,full_time,remote,,ES,,,,,,,,,,,,,,,,,
1657,https://job-boards.greenhouse.io/capco/jobs/7618782,DBT Snowflake Data Engineer,data_engineer,data_engineering,,full_time,unspecified,India - Bengaluru,IN,,,,,,,,,,,,,,,,,
235,https://job-boards.greenhouse.io/gomotive/jobs/8403604002,Senior Technical Support Engineer,it_support_specialist,it_operations,senior,,remote,,,,,,,,,,,,,,,,,,,
111,https://job-boards.greenhouse.io/smartsheet/jobs/7651359,Sr. Packaging & Pricing Analyst (Hybrid in Bangalore),financial_analyst,finance,senior,full_time,hybrid,Bangalore,IN,,,,,,,,,,,,,,,,,
278,https://job-boards.greenhouse.io/canonical/jobs/5915936,Cloud Solutions Architect - Alliances,solutions_architect,architecture,,,,,,,,,,,,,,,,,,,,,,
112,https://job-boards.greenhouse.io/smartsheet/jobs/7634548,Sr. Product Designer (Hybrid in Bangalore),product_designer,design,senior,full_time,hybrid,Bangalore,IN,,,,,,,,,,,,,,,,,
1189,https://job-boards.greenhouse.io/celonis/jobs/7566428003?gh_jid=7566428003,Product Data Scientist,data_scientist,data_science,senior,full_time,onsite,Bangalore,IN,,,,,,,,,,,,,,,,,
1404,https://job-boards.greenhouse.io/appier/jobs/7366768,Senior Machine Learning Scientist (Ads incrementality) - Tokyo,ml_scientist,machine_learning,senior,full_time,onsite,Tokyo,JP,,,,,,,,,,,,,,,,,
289,https://job-boards.greenhouse.io/canonical/jobs/6460571,"Director, Talent Science",talent_analytics_specialist,management,senior,full_time,remote,,,,,,,,,,,,,,,,,,,
1916,https://job-boards.greenhouse.io/capco/jobs/7641216,Senior Full Stack Developer - COM INGLÊS - Remoto,fullstack_engineer,fullstack,senior,full_time,remote,Sao Paulo,BR,,,,,,,,,,,,,,,,,
1479,https://job-boards.greenhouse.io/datacamp/jobs/7327829,Senior Customer Success Manager,customer_success_manager,customer_success,senior,full_time,onsite,New York,US,,,,,,,,,,,,,,,,,
1263,https://job-boards.greenhouse.io/celonis/jobs/7554118003?gh_jid=7554118003,Senior SRE (Reliability Engineering),site_reliability_engineer,sre,senior,full_time,hybrid,Redwood City,US,,,,,,,,,,,,,,,,,
460,https://job-boards.greenhouse.io/canonical/jobs/5570923,Silicon Alliances Ecosystem Development Manager - APAC,alliance_manager,partnerships,senior,full_time,onsite,Taipei,TW,,,,,,,,,,,,,,,,,
122,https://job-boards.greenhouse.io/smartsheet/jobs/7369444,Sr. Technical Program Manager (Hybrid in Bangalore),technical_program_manager,program_management,senior,full_time,hybrid,Bangalore,IN,,,,,,,,,,,,,,,,,
189,https://job-boards.greenhouse.io/gomotive/jobs/5466892002,Interested in joining our team?,general_application,,,,remote,,US,,,,,,,,,,,,,,,,,
1907,https://job-boards.greenhouse.io/capco/jobs/6963178,Senior DevOps Engineer,devops_engineer,devops,senior,full_time,,Prague,,,,,,,,,,,,,,,,,,
818,https://job-boards.greenhouse.io/grafanalabs/jobs/5814154004,Senior Product Counsel | Ireland | Remote,legal_counsel,legal,senior,full_time,remote,,IE,145000,175000,EUR,yearly,,,,,,,,,,,,,
1123,https://job-boards.greenhouse.io/celonis/jobs/7638180003?gh_jid=7638180003,Field CTO,chief_technology_officer,executive leadership,lead,full_time,hybrid,Redwood City,US,,,,,,,,,,,,,,,,,
232,https://job-boards.greenhouse.io/gomotive/jobs/8349913002,"Senior Solutions Engineer, Enterprise (Great Lakes)",software_engineer,software_engineering,senior,,remote,,US,,,,,,,,,,,,,,,,,
363,https://job-boards.greenhouse.io/canonical/jobs/7440256,LATAM Enterprise Account Executive - Spanish speaker,account_executive,sales,senior,,remote,,,,,,,,,,,,,,,,,,,
442,https://job-boards.greenhouse.io/canonical/jobs/7528950,Senior Design Researcher - User Science,other,research,senior,full_time,remote,,,,,,,,,,,,,,,,,,,
1247,https://job-boards.greenhouse.io/celonis/jobs/7600168003?gh_jid=7600168003,Senior Project Manager - FSI,manager,management,senior,full_time,hybrid,New York,US,,,,,,,,,,,,,,,,,
1208,https://job-boards.greenhouse.io/celonis/jobs/7586202003?gh_jid=7586202003,Senior Business Transformation & Process Optimisation Consultant,consultant,consulting,senior,full_time,hybrid,Munich,DE,,,,,,,,,,,,,,,,,
716,https://job-boards.greenhouse.io/gleanwork/jobs/4585815005,Tech Lead Manager - Data Engineering,analytics_manager,data_analytics,senior,full_time,hybrid,Bangalore,IN,,,,,,,,,,,,,,,,,
448,https://job-boards.greenhouse.io/canonical/jobs/3109976,Senior Product Marketing Manager,marketing_specialist,marketing,senior,,,,,,,,,,,,,,,,,,,,,
