job_indexed_id,url,title_clean,gold_location_type,gold_location_city,gold_country,country_issue,qa_status,qa_fix_location_type,qa_fix_location_city,qa_fix_country,qa_notes
343,https://job-boards.greenhouse.io/canonical/jobs/4209375,Head of Security Operations,onsite,,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
990,https://job-boards.greenhouse.io/inthepocket/jobs/7273769,Marketing Manager,onsite,,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
249,https://job-boards.greenhouse.io/gomotive/jobs/8355409002,Team Lead Data Annotator,onsite,Mexico City,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1591,https://job-boards.greenhouse.io/capco/jobs/7433436,Business Analyst - Securities Services,onsite,Kuala Lumpur,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1645,https://job-boards.greenhouse.io/capco/jobs/6247156,Data Management Consultant (Banking/Financial Service),onsite,Kuala Lumpur,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1622,https://job-boards.greenhouse.io/capco/jobs/7278861,Consultant / Senior Consultant / Principal Consultant - Data,onsite,Singapore,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1618,https://job-boards.greenhouse.io/capco/jobs/6366595,Consultant - Change Management/Process Improvement,onsite,Kuala Lumpur,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
568,https://job-boards.greenhouse.io/gleanwork/jobs/4660077005,Corporate Account Executive,hybrid,Nashville,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1789,https://job-boards.greenhouse.io/capco/jobs/7585729,Murex Consultant,onsite,Brno,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1470,https://job-boards.greenhouse.io/datacamp/jobs/7522434,Marketing Associate (Social Impact),hybrid,,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1250,https://job-boards.greenhouse.io/celonis/jobs/6320587003?gh_jid=6320587003,Senior Services Consultant (AI & Process Analytics),hybrid,Tokyo,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1572,https://job-boards.greenhouse.io/capco/jobs/7560479,Business Analyst Consultant,onsite,Brussels,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1388,https://job-boards.greenhouse.io/appier/jobs/1780540,"Sales Business Development Manager, Advertising Solutions",onsite,Hồ Chí Minh,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1575,https://job-boards.greenhouse.io/capco/jobs/7507582,Business Analyst - Energy,onsite,Brussels,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1471,https://job-boards.greenhouse.io/datacamp/jobs/7532310,Marketing Associate (Social Impact),hybrid,,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
156,https://job-boards.greenhouse.io/gomotive/jobs/8307807002,Business Strategy & Operations Analyst II-4,hybrid,Lahore,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1442,https://job-boards.greenhouse.io/appier/jobs/7407514,"Technical Consultant ,Tokyo Japan.",onsite,Tokyo,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
560,https://job-boards.greenhouse.io/gleanwork/jobs/4608948005,"Commercial Account Executive, Central",hybrid,Nashville,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
