job_indexed_id,url,title_clean,pred_normalized_title,gold_normalized_title_before,gold_normalized_title_after,pred_role_family,gold_role_family,queue_reason,review_decision,review_notes
168,https://job-boards.greenhouse.io/gomotive/jobs/8419784002,"Director of Customer Success, Canada",customer_success_manager,other,other,customer_success,customer_success,title_still_other_after_canonicalization,,
347,https://job-boards.greenhouse.io/canonical/jobs/6950222,IBM Global Alliance Director,alliance_manager,other,other,partnerships,other,title_still_other_after_canonicalization,,
1957,https://job-boards.greenhouse.io/capco/jobs/6203991,Talent Acquisition Specialist (She/He/They),technical_recruiter,other,other,recruiting,recruiting,title_still_other_after_canonicalization,,
45,https://job-boards.greenhouse.io/smartsheet/jobs/7453306,Corporate Counsel I,legal_counsel,other,other,legal,legal,title_still_other_after_canonicalization,,
729,https://job-boards.greenhouse.io/gleanwork/jobs/4529580005,Technical Writer,other,other,other,other,other,title_still_other_after_canonicalization,,
1834,https://job-boards.greenhouse.io/capco/jobs/6368592,Project Manager,manager,other,other,operations,other,title_still_other_after_canonicalization,,
1863,https://job-boards.greenhouse.io/capco/jobs/7571444,Senior AI Delivery Lead for Continental Europe,consultant,other,other,consulting,other,title_still_other_after_canonicalization,,
364,https://job-boards.greenhouse.io/canonical/jobs/6394147,Lead Data Governance Engineer,analytics_manager,other,other,data_analytics,other,title_still_other_after_canonicalization,,
966,https://job-boards.greenhouse.io/gofundme/jobs/7524144,"Senior Director, Content Risk",marketing_manager,other,other,marketing,other,title_still_other_after_canonicalization,,
1685,https://job-boards.greenhouse.io/capco/jobs/7456432,Full Stack Developer - COM INGLÊS - Remoto,fullstack_engineer,other,other,fullstack,other,title_still_other_after_canonicalization,,
466,https://job-boards.greenhouse.io/canonical/jobs/7607786,"Software Alliances Director, Americas",alliance_manager,other,other,partnerships,other,title_still_other_after_canonicalization,,
1999,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/7582506,Quantitative Trading Analyst,other,other,other,other,other,title_still_other_after_canonicalization,,
1960,https://job-boards.greenhouse.io/capco/jobs/7335064,Technical Project Manager,manager,other,other,operations,operations,title_still_other_after_canonicalization,,
1894,https://job-boards.greenhouse.io/capco/jobs/7570775,Senior Data Architect,data_analyst,other,other,data_analytics,other,title_still_other_after_canonicalization,,
1021,https://job-boards.greenhouse.io/webflow/jobs/7371064,"Marketing Lead, EMEA",marketing_specialist,other,other,marketing,marketing,title_still_other_after_canonicalization,,
126,https://job-boards.greenhouse.io/smartsheet/jobs/7551022,"Team Manager, Technical Support",it_support_specialist,other,other,it_operations,it_operations,title_still_other_after_canonicalization,,
1539,https://job-boards.greenhouse.io/capco/jobs/7253483,Associate Director Finance process - Anaplan Lead,accountant,other,other,finance,other,title_still_other_after_canonicalization,,
1205,https://job-boards.greenhouse.io/celonis/jobs/6646024003?gh_jid=6646024003,Senior AI Deployment Architect,enterprise_architect,other,other,architecture,other,title_still_other_after_canonicalization,,
1495,https://job-boards.greenhouse.io/kalepa/jobs/5737411004,Senior Full Stack Engineer - Core UX (Europe),fullstack_engineer,other,other,fullstack,other,title_still_other_after_canonicalization,,
188,https://job-boards.greenhouse.io/gomotive/jobs/5476318002,Interested in joining our team?,general_application,other,other,recruiting,other,title_still_other_after_canonicalization,,
480,https://job-boards.greenhouse.io/canonical/jobs/4086684,Software Engineering Manager - Container and Virtualisation Infrastructure,software_engineer,other,other,software_engineering,other,title_still_other_after_canonicalization,,
423,https://job-boards.greenhouse.io/canonical/jobs/5906490,Representante de Desarrollo de Ventas,other,other,other,other,other,title_still_other_after_canonicalization,,
219,https://job-boards.greenhouse.io/gomotive/jobs/8384543002,Senior Insurance Partner Manager (Carriers),manager,other,other,operations,other,title_still_other_after_canonicalization,,
1771,https://job-boards.greenhouse.io/capco/jobs/7663170,"Managing Principal (Director) - Financial Crime Transformation - AML Investigations, Sanctions & Fraud",consultant,other,other,consulting,other,title_still_other_after_canonicalization,,
306,https://job-boards.greenhouse.io/canonical/jobs/5667860,Engineering Manager - Data Platform,analytics_manager,other,other,data_analytics,other,title_still_other_after_canonicalization,,
405,https://job-boards.greenhouse.io/canonical/jobs/7601064,Product Marketing Manager,marketing_specialist,other,other,marketing,other,title_still_other_after_canonicalization,,
90,https://job-boards.greenhouse.io/smartsheet/jobs/7475715,Senior NetSuite Administrator (in Bangalore),systems_administrator,other,other,it_operations,it_operations,title_still_other_after_canonicalization,,
107,https://job-boards.greenhouse.io/smartsheet/jobs/7629370,"Sr. Finance Analyst, WWFO FP&A",financial_analyst,other,other,finance,finance,title_still_other_after_canonicalization,,
1524,https://job-boards.greenhouse.io/capco/jobs/7651043,AI Technical Architect,enterprise_architect,other,other,architecture,other,title_still_other_after_canonicalization,,
925,https://job-boards.greenhouse.io/truebill/jobs/7601490003,"Senior Full Stack Engineer, Account Linking",fullstack_engineer,other,other,fullstack,other,title_still_other_after_canonicalization,,
467,https://job-boards.greenhouse.io/canonical/jobs/6300377,"Software Alliances Director, EMEA",alliance_manager,other,other,partnerships,other,title_still_other_after_canonicalization,,
1413,https://job-boards.greenhouse.io/appier/jobs/7582643,(Senior) Sales Manager of Enterprise Solution,sales_representative,other,other,sales,other,title_still_other_after_canonicalization,,
1327,https://job-boards.greenhouse.io/celonis/jobs/7609061003?gh_jid=7609061003,Video Producer / Senior Video Producer,other,other,other,other,other,title_still_other_after_canonicalization,,
1985,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/7400756,Compliance Manager (Regulatory Reporting),manager,other,other,operations,other,title_still_other_after_canonicalization,,
1649,https://job-boards.greenhouse.io/capco/jobs/7546605,Data Modeller,data_analyst,other,other,data_analytics,other,title_still_other_after_canonicalization,,
954,https://job-boards.greenhouse.io/gofundme/jobs/7531351,Lead Technical SEO,seo_specialist,other,other,marketing,other,title_still_other_after_canonicalization,,
